symbol,sector,momentum_score,price_momentum,trend_strength,volume_momentum,volatility,risk_adjusted_momentum,volume_ratio,data_quality,momentum_rank,momentum_percentile,signal,weight,timestamp,strategy
XLK,Technology,-0.08577571099499817,0.02942663336623108,0.003564257126031854,0.006921792603499233,0.32498768485850926,0.09054691835182195,1.0069217926034992,1.0,7.0,0.45454545454545453,NEUTRAL,0.09090909090909091,2025-06-13T19:21:34.429840,rotational_alpha
XLF,Financials,-0.12676596113940442,-0.06368075108360381,-0.004312202353209642,0.0,0.24318655888521068,-0.26185966599273486,0.9797639659108864,1.0,11.0,0.09090909090909091,STRONG_SELL,0.09090909090909091,2025-06-13T19:21:34.429840,rotational_alpha
XLV,Healthcare,-0.0494169569489671,0.12053922500625464,0.007891176828436831,0.0,0.2555565870657824,0.4716733244493786,0.8292322374220888,1.0,2.0,0.9090909090909091,BUY,0.09090909090909091,2025-06-13T19:21:34.429840,rotational_alpha
XLI,Industrials,-0.04983249166117238,0.10553376989969661,0.007710802971674237,0.028203797437233558,0.29870521190648663,0.3533040793835739,1.0282037974372336,1.0,3.0,0.8181818181818182,BUY,0.09090909090909091,2025-06-13T19:21:34.429840,rotational_alpha
XLE,Energy,-0.027529456198824645,0.17337047552296803,0.010407845306627148,0.0,0.2954218133453777,0.5868573940417885,0.9740709078362819,1.0,1.0,1.0,BUY,0.09090909090909091,2025-06-13T19:21:34.429840,rotational_alpha
XLB,Materials,-0.12124980975628974,-0.05253767651078931,-0.0007824638399133571,0.0,0.28547686834857366,-0.18403479348330118,0.8477417852812394,1.0,9.0,0.2727272727272727,NEUTRAL,0.09090909090909091,2025-06-13T19:21:34.429840,rotational_alpha
XLU,Utilities,-0.09818515701523661,-0.0064180626390734925,-0.005110687929014865,0.029576372095486247,0.41609452947495595,-0.015424530207527723,1.0295763720954862,1.0,8.0,0.36363636363636365,NEUTRAL,0.09090909090909091,2025-06-13T19:21:34.429840,rotational_alpha
XLP,ConsumerStaples,-0.06190787038417371,0.09365236842206999,0.0021039408233276646,0.0,0.36790009438691373,0.25455923999730623,0.9655758582448355,1.0,5.0,0.6363636363636364,BUY,0.09090909090909091,2025-06-13T19:21:34.429840,rotational_alpha
XLY,ConsumerDiscretionary,-0.12509205999086043,-0.061186477002795184,-0.002058230632474458,0.0,0.29212645804185833,-0.20945202092590967,0.998072117099109,1.0,10.0,0.18181818181818182,SELL,0.09090909090909091,2025-06-13T19:21:34.429840,rotational_alpha
XLRE,RealEstate,-0.05911021810390899,0.030701518917018132,3.082357595170292e-05,0.14299963628249124,0.30678937791343014,0.10007360465290129,1.1429996362824912,1.0,4.0,0.7272727272727273,BUY,0.09090909090909091,2025-06-13T19:21:34.429840,rotational_alpha
XLC,Communication,-0.06907377432837586,0.06020092807136331,0.00357796586477686,0.028862323418228808,0.27473945262374505,0.2191200699297029,1.0288623234182288,1.0,6.0,0.5454545454545454,NEUTRAL,0.09090909090909091,2025-06-13T19:21:34.429840,rotational_alpha
